Pathway,Sig_Count,Bg_Count,P_Value,Enrichment_Score,id,name,class,Category,Significant,Highly_Significant,-log10(P),FDR,Bonferroni
map00998,1,1,0.5454545454545454,0.0833333333333333,map00998,Biosynthesis of various antibiotics,Metabolism; Biosynthesis of other secondary metabolites,Secondary Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00330,1,1,0.5454545454545454,0.0833333333333333,map00330,Arginine and proline metabolism,Metabolism; Amino acid metabolism,Amino Acid Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map05142,1,1,0.5454545454545454,0.0833333333333333,map05142,Chagas disease,Human Diseases; Infectious disease: parasitic,Human Disease,False,False,0.2632414347745814,0.5853658536585366,1.0
map05146,1,1,0.5454545454545454,0.0833333333333333,map05146,Amoebiasis,Human Diseases; Infectious disease: parasitic,Human Disease,False,False,0.2632414347745814,0.5853658536585366,1.0
map00260,1,1,0.5454545454545454,0.0833333333333333,map00260,"Glycine, serine and threonine metabolism",Metabolism; Amino acid metabolism,Amino Acid Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map04148,1,1,0.5454545454545454,0.0833333333333333,map04148,Efferocytosis,Cellular Processes; Transport and catabolism,Other Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map04150,1,1,0.5454545454545454,0.0833333333333333,map04150,mTOR signaling pathway,Environmental Information Processing; Signal transduction,Signal Transduction,False,False,0.2632414347745814,0.5853658536585366,1.0
map05014,1,1,0.5454545454545454,0.0833333333333333,map05014,Amyotrophic lateral sclerosis,Human Diseases; Neurodegenerative disease,Human Disease,False,False,0.2632414347745814,0.5853658536585366,1.0
map05022,1,1,0.5454545454545454,0.0833333333333333,map05022,Pathways of neurodegeneration - multiple diseases,Human Diseases; Neurodegenerative disease,Human Disease,False,False,0.2632414347745814,0.5853658536585366,1.0
map02010,1,1,0.5454545454545454,0.0833333333333333,map02010,ABC transporters,Environmental Information Processing; Membrane transport,Other Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00400,1,1,0.5454545454545454,0.0833333333333333,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Metabolism; Amino acid metabolism,Amino Acid Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00404,1,1,0.5454545454545454,0.0833333333333333,map00404,Staurosporine biosynthesis,Metabolism; Biosynthesis of other secondary metabolites,Secondary Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00901,1,1,0.5454545454545454,0.0833333333333333,map00901,Indole alkaloid biosynthesis,Metabolism; Biosynthesis of other secondary metabolites,Secondary Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00380,1,1,0.5454545454545454,0.0833333333333333,map00380,Tryptophan metabolism,Metabolism; Amino acid metabolism,Amino Acid Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00966,1,1,0.5454545454545454,0.0833333333333333,map00966,Glucosinolate biosynthesis,Metabolism; Biosynthesis of other secondary metabolites,Secondary Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00997,1,1,0.5454545454545454,0.0833333333333333,map00997,Biosynthesis of various other secondary metabolites,Metabolism; Biosynthesis of other secondary metabolites,Secondary Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00220,1,1,0.5454545454545454,0.0833333333333333,map00220,Arginine biosynthesis,Metabolism; Amino acid metabolism,Amino Acid Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00591,1,1,0.5454545454545454,0.0833333333333333,map00591,Linoleic acid metabolism,Metabolism; Lipid metabolism,Lipid Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map04726,1,1,0.5454545454545454,0.0833333333333333,map04726,Serotonergic synapse,Organismal Systems; Nervous system,Other Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map04978,1,1,0.5454545454545454,0.0833333333333333,map04978,Mineral absorption,Organismal Systems; Digestive system,Other Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map05143,1,1,0.5454545454545454,0.0833333333333333,map05143,African trypanosomiasis,Human Diseases; Infectious disease: parasitic,Human Disease,False,False,0.2632414347745814,0.5853658536585366,1.0
map00999,1,1,0.5454545454545454,0.0833333333333333,map00999,Biosynthesis of various plant secondary metabolites,Metabolism; Biosynthesis of other secondary metabolites,Secondary Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map01070,1,1,0.5454545454545454,0.0833333333333333,map01070,Biosynthesis of plant hormones,,Biosynthesis,False,False,0.2632414347745814,0.5853658536585366,1.0
map01210,1,1,0.5454545454545454,0.0833333333333333,map01210,2-Oxocarboxylic acid metabolism,,Other Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map01240,1,1,0.5454545454545454,0.0833333333333333,map01240,Biosynthesis of cofactors,,Biosynthesis,False,False,0.2632414347745814,0.5853658536585366,1.0
map04361,1,1,0.5454545454545454,0.0833333333333333,map04361,Axon regeneration,Organismal Systems; Development and regeneration,Other Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00960,1,1,0.5454545454545454,0.0833333333333333,map00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",Metabolism; Biosynthesis of other secondary metabolites,Secondary Metabolism,False,False,0.2632414347745814,0.5853658536585366,1.0
map00943,2,3,0.5714285714285716,0.1666666666666666,map00943,Isoflavonoid biosynthesis,Metabolism; Biosynthesis of other secondary metabolites,Secondary Metabolism,False,False,0.2430380486862943,0.5986394557823131,1.0
map00770,0,1,1.0,0.0,map00770,Pantothenate and CoA biosynthesis,Metabolism; Metabolism of cofactors and vitamins,Biosynthesis,False,False,-0.0,1.0,1.0
map00946,0,1,1.0,0.0,map00946,Degradation of flavonoids,Metabolism; Biosynthesis of other secondary metabolites,Secondary Metabolism,False,False,-0.0,1.0,1.0
