config,edges,tier_r,tier_p,hits_20_mean,hits_20_std
tier_r_only,372,372,0,0.11574074074074074,0.09095779029809492
tier_r_plus_p,5900,372,5528,0.1806575528188905,0.013474997966845792
tier_p_only,5528,0,5528,0.17161259675301088,0.019385862093656836
