hits_20,iso_hits,top_10
0.16666666666666666,2,"['C00025', 'C00858', 'C00068', 'C00062', 'C00078', 'C00399', 'C00117', 'C00069', 'C15567', 'C05689']"
0.13333333333333333,2,"['C00062', 'C00858', 'C00025', 'C00078', 'C00068', 'C00117', 'C00399', 'C00235', 'C00197', 'C00069']"
0.1,0,"['C04682', 'C22458', 'C11215', 'C19845', 'C05379', 'C01063', 'C05696', 'C18096', 'C02631', 'C00909']"
