Rank,TF_ID,TF_Name,Enzyme_ID,Enzyme_Name,Score,TF_Desc,Enzyme_Desc
1,3847.I1N4K6,I1N4K6_SOYBN,3847.I1JPX3,I1JPX3_SOYBN,0.9969611763954163,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.
2,3847.I1N4K6,I1N4K6_SOYBN,3847.I1LZF4,I1LZF4_SOYBN,0.9967228770256042,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.
3,3847.I1N4K6,I1N4K6_SOYBN,3847.I1L3F8,I1L3F8_SOYBN,0.996638298034668,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,"3-hydroxy-3-methylglutaryl coenzyme A synthase; This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase."
4,3847.I1NFB9,I1NFB9_SOYBN,3847.Q5NUF3,HIDH,0.9965463280677795,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.
5,3847.I1N4K6,I1N4K6_SOYBN,3847.K7LHS5,K7LHS5_SOYBN,0.9965395927429199,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.
6,3847.I1N4K6,I1N4K6_SOYBN,3847.A0A0R0EQY1,A0A0R0EQY1,0.996510922908783,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.
7,3847.I1N4K6,I1N4K6_SOYBN,3847.K7K8Z6,K7K8Z6_SOYBN,0.9965020418167114,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.
8,3847.A0A0R0J1V3,A0A0R0J1V3,3847.Q5NUF3,HIDH,0.9964757561683655,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.
9,3847.A0A0R4J446,A0A0R4J446,3847.Q5NUF3,HIDH,0.9964236617088318,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.
10,3847.I1N4K6,I1N4K6_SOYBN,3847.K7M7G9,K7M7G9_SOYBN,0.9960564374923706,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.
