enzyme_idx,string_id,uniprot_id
345,3847.A0A0R0HY26,A0A0R0HY26
346,3847.A0A0R0HYB1,A0A0R0HYB1
347,3847.A0A0R0HYM5,A0A0R0HYM5
348,3847.A0A0R0HYU4,A0A0R0HYU4
349,3847.A0A0R0HZ13,A0A0R0HZ13
350,3847.A0A0R0HZ25,A0A0R0HZ25
351,3847.A0A0R0HZ88,A0A0R0HZ88
352,3847.A0A0R0HZT2,A0A0R0HZT2
353,3847.A0A0R0HZZ3,A0A0R0HZZ3
354,3847.A0A0R0I032,A0A0R0I032
355,3847.A0A0R0I0I2,A0A0R0I0I2
356,3847.A0A0R0I128,A0A0R0I128
357,3847.A0A0R0I1Z8,A0A0R0I1Z8
358,3847.A0A0R0I2G1,A0A0R0I2G1
359,3847.A0A0R0I2W8,A0A0R0I2W8
360,3847.A0A0R0I2Y3,A0A0R0I2Y3
361,3847.A0A0R0I492,A0A0R0I492
362,3847.A0A0R0I4J2,A0A0R0I4J2
363,3847.A0A0R0I559,A0A0R0I559
364,3847.A0A0R0I5G0,A0A0R0I5G0
365,3847.A0A0R0I5L4,A0A0R0I5L4
366,3847.A0A0R0I623,A0A0R0I623
367,3847.A0A0R0I641,A0A0R0I641
368,3847.A0A0R0I658,A0A0R0I658
369,3847.A0A0R0I683,A0A0R0I683
370,3847.A0A0R0I686,A0A0R0I686
371,3847.A0A0R0I7A3,A0A0R0I7A3
372,3847.A0A0R0I811,A0A0R0I811
373,3847.A0A0R0I8N3,A0A0R0I8N3
374,3847.A0A0R0I8P4,A0A0R0I8P4
375,3847.A0A0R0I9A1,A0A0R0I9A1
376,3847.A0A0R0I9A2,A0A0R0I9A2
377,3847.A0A0R0I9H6,A0A0R0I9H6
378,3847.A0A0R0I9L1,A0A0R0I9L1
379,3847.A0A0R0I9Q9,A0A0R0I9Q9
380,3847.A0A0R0I9Y9,A0A0R0I9Y9
381,3847.A0A0R0I9Z8,A0A0R0I9Z8
382,3847.A0A0R0IAX6,A0A0R0IAX6
383,3847.A0A0R0IBM5,A0A0R0IBM5
384,3847.A0A0R0IC18,A0A0R0IC18
385,3847.A0A0R0ICM7,A0A0R0ICM7
386,3847.A0A0R0ICR4,A0A0R0ICR4
387,3847.A0A0R0ICT2,A0A0R0ICT2
388,3847.A0A0R0IDN2,A0A0R0IDN2
389,3847.A0A0R0IDS4,A0A0R0IDS4
390,3847.A0A0R0IDV9,A0A0R0IDV9
391,3847.A0A0R0IE36,A0A0R0IE36
392,3847.A0A0R0IFA7,A0A0R0IFA7
393,3847.A0A0R0IFS4,A0A0R0IFS4
394,3847.A0A0R0IFS8,A0A0R0IFS8
395,3847.A0A0R0IFV2,A0A0R0IFV2
396,3847.A0A0R0IG23,A0A0R0IG23
397,3847.A0A0R0IGJ1,A0A0R0IGJ1
398,3847.A0A0R0IHJ8,A0A0R0IHJ8
399,3847.A0A0R0IHP4,A0A0R0IHP4
400,3847.A0A0R0IHS3,A0A0R0IHS3
401,3847.A0A0R0IHZ9,A0A0R0IHZ9
