ChEBI,Name,Control_Mean,Ethylene_Mean,Log2FC,P_Value,KEGG
CHEBI:80630,Irinotecan,4.1075,1.035,-1.9875877637399808,0.12730806839740175,C11365
CHEBI:80630,Irinotecan,2.73,0.0,-11.415213598765286,0.18169972331631215,C11365
CHEBI:142263,Isopeonidin 3-rutinoside,0.0,1.335,10.383704292474052,0.39100221895577053,
CHEBI:142264,Isopersin,3.8649999999999998,3.9675,0.037752167932811775,0.4156757523963204,
CHEBI:142265,Isosojagol,0.6875,4.2725,2.6338895629100434,0.013633835088759493,
CHEBI:16467,L-Arginine,4.1,5.15,0.3288767963960743,7.28504108923496e-05,C00062
CHEBI:142266,Licoagroside B,4.7925,4.25,-0.1732771733432364,4.87727697314295e-05,
CHEBI:92583,Linolenelaidic acid,4.085,4.5600000000000005,0.15866096612452754,1.4783629466447102e-06,
CHEBI:16828,L-Tryptophan,0.0,4.029999999999999,11.97692206785108,1.859807700749127e-06,C00078
CHEBI:142267,Methyl N-methylanthranilate,0.0,4.4425,12.117480772832984,3.427637303312945e-08,C03005
CHEBI:75610,"Monolinolenin (9c,12c,15c)",4.785,0.0,-12.2246046815385,1.3074096718167721e-08,
CHEBI:7508,Neomycin,3.9125,4.15,0.0849994870649997,0.012911588455005292,C00384
CHEBI:142268,N-Malonyltryptophan,3.9625,2.6325,-0.5897935169028812,0.00886011202254474,
CHEBI:116314,Oleamide,5.0625,5.065,0.0007121255097397368,0.8702129870977098,C19670
CHEBI:142269,Panaquinquecol 1,4.535,4.61,0.023659025469698773,0.58519697381237,
CHEBI:142270,"PE(20:2(11Z,14Z)/18:1(9Z))",4.3774999999999995,2.0725000000000002,-1.0783686643174621,0.04538761177691571,
CHEBI:89353,"PG(18:2(9Z,12Z)/18:0)",5.055,3.4449999999999994,-0.5530737619521552,0.2555059015284723,
CHEBI:108,Phaseollin,0.0,1.2875,10.331476821859619,0.1818352988925175,C10514
CHEBI:64681,Phenylglucuronide,4.63,4.33,-0.0966235846361249,0.0010973305890382052,
CHEBI:142271,PIP(18:0/16:0),4.539999999999999,4.5525,0.003965847351065894,0.599822521517295,
CHEBI:142272,"PIP(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))",3.9575,3.8200000000000003,-0.05100359368991328,0.325916856364901,
CHEBI:8286,Pollinastanol,4.2575,4.262499999999999,0.0016929068369297006,0.9526927256574687,C08833
CHEBI:142273,Polyoxyethylene (600) monoricinoleate,5.867500000000001,5.865,-0.0006147237047665518,0.9590138133029602,
CHEBI:142274,Rhodinyl phenylacetate,4.16,3.74,-0.15350632249393284,0.016743094363031574,
CHEBI:142274,Rhodinyl phenylacetate,4.66,4.525,-0.0424029282720516,0.0022108953834415164,
CHEBI:8878,Robinin,4.1,2.965,-0.46745714587258586,0.0185440175428599,C10178
CHEBI:142275,Sedanonic acid,2.375,4.5275,0.9304984214340157,0.07335179060283593,C17875
CHEBI:142276,Soyacerebroside I,3.6550000000000002,4.33,0.24443410200949864,0.010156761905174144,
CHEBI:62867,Soyasaponin III,4.925,4.9875,0.01818944666685864,0.28043532132451376,C19865
CHEBI:142239,Thr-Cys(Trioxidation),4.717499999999999,5.0875,0.10891213480752221,1.1906712242023907e-07,
CHEBI:18123,Trigonelline,4.975,5.0225,0.013706391297269546,0.007828492240186752,C01004
CHEBI:75011,Val-Glu,0.0,0.0,0.0,1.0,
CHEBI:142277,Yucalexin P8,3.6500000000000004,3.9975000000000005,0.13116721912200707,0.04686216394652456,
