ChEBI,Name,Control_Mean,Ethylene_Mean,Log2FC,P_Value,KEGG,q_value
CHEBI:18088,Formononetin,4.5675,5.015,0.1348167928759245,3.796591093522639e-08,C00858,7.498267409707212e-07
CHEBI:142258,Ganoderic acid F,5.27,3.3175,-0.6675454178367117,0.175678612885769,,0.26118161113652516
CHEBI:142258,Ganoderic acid F,1.045,1.1125,0.0902187065408484,0.9661665576354296,,0.9984423233312085
CHEBI:142261,Ganoderol B,4.3100000000000005,4.279999999999999,-0.0100747269815733,0.6745109164979193,,0.7612337486190803
CHEBI:142262,Gingerenone B,4.510000000000001,4.547499999999999,0.0119435670892184,0.2398321750714458,,0.3383346755472182
CHEBI:69081,Glycerol 1-hexadecanoate,4.9575,5.215,0.0730401138462552,0.1633046092234567,,0.25802128257306156
CHEBI:75555,Glycerol 1-stearate,6.075,6.07,-0.0011876966513293,0.9731653024873804,,0.9984423233312085
CHEBI:80630,Irinotecan,4.1075,1.035,-1.9875877637399808,0.1273080683974017,C11365,0.20525178374274966
CHEBI:80630,Irinotecan,2.73,0.0,-11.415213598765286,0.1816997233163121,C11365,0.26118161113652516
CHEBI:142263,Isopeonidin 3-rutinoside,0.0,1.335,10.383704292474052,0.3910022189557705,,0.4752180815000902
CHEBI:142264,Isopersin,3.865,3.9675,0.0377521679328117,0.4156757523963204,,0.49356793257548626
CHEBI:142265,Isosojagol,0.6875,4.2725,2.6338895629100434,0.0136338350887594,,0.028344025579262962
CHEBI:16467,L-Arginine,4.1,5.15,0.3288767963960743,7.28504108923496e-05,C00062,0.0002740563076426485
CHEBI:142266,Licoagroside B,4.7925,4.25,-0.1732771733432364,4.87727697314295e-05,,0.00019265244043914655
CHEBI:92583,Linolenelaidic acid,4.085,4.5600000000000005,0.1586609661245275,1.4783629466447102e-06,,8.342190913209436e-06
CHEBI:16828,L-Tryptophan,0.0,4.029999999999999,11.97692206785108,1.859807700749127e-06,C00078,9.182800522448815e-06
CHEBI:142267,Methyl N-methylanthranilate,0.0,4.4425,12.117480772832984,3.4276373033129456e-08,C03005,7.498267409707212e-07
CHEBI:75610,"Monolinolenin (9c,12c,15c)",4.785,0.0,-12.2246046815385,1.307409671816772e-08,,6.804090435732476e-07
CHEBI:7508,Neomycin,3.9125,4.15,0.0849994870649997,0.0129115884550052,C00384,0.02756798616068678
CHEBI:142268,N-Malonyltryptophan,3.9625,2.6325,-0.5897935169028812,0.0088601120225447,,0.020586730875912687
CHEBI:116314,Oleamide,5.0625,5.065,0.0007121255097397,0.8702129870977098,C19670,0.9417373422016312
CHEBI:142269,Panaquinquecol 1,4.535,4.61,0.0236590254696987,0.58519697381237,,0.6798611901643711
CHEBI:142270,"PE(20:2(11Z,14Z)/18:1(9Z))",4.3775,2.0725,-1.078368664317462,0.0453876117769157,,0.08537193643753191
CHEBI:89353,"PG(18:2(9Z,12Z)/18:0)",5.055,3.4449999999999994,-0.5530737619521552,0.2555059015284723,,0.35412221439911074
CHEBI:108,Phaseollin,0.0,1.2875,10.33147682185962,0.1818352988925175,C10514,0.26118161113652516
CHEBI:64681,Phenylglucuronide,4.63,4.33,-0.0966235846361249,0.0010973305890382,,0.003210708019778437
CHEBI:142271,PIP(18:0/16:0),4.539999999999999,4.5525,0.0039658473510658,0.599822521517295,,0.6867533217371928
