Protein IDs,Gene names,Protein names,Fasta headers,Log2FC,P_Value,Mean_Control,Mean_Ethylene
Glyma.02G083800.2.p;Glyma.02G083800.3.p;Glyma.16G170200.2.p;Glyma.10G226700.7.p;Glyma.10G226700.3.p;Glyma.20G165600.5.p;Glyma.02G083800.1.p;Glyma.20G165600.4.p;Glyma.16G170200.1.p;Glyma.10G226700.6.p;Glyma.10G226700.5.p;Glyma.10G226700.2.p;Glyma.10G226600.2.p;Glyma.20G165700.1.p;Glyma.20G165600.3.p;Glyma.20G165600.2.p;Glyma.10G226700.1.p;Glyma.10G226600.1.p;Glyma.20G165600.1.p,,,Glyma.02G083800.2.p pacid=30507638 transcript=Glyma.02G083800.2 locus=Glyma.02G083800 ID=Glyma.02G083800.2.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G083800.3.p pacid=30507637 transcript=Glyma.02G083800.3 locus=Glyma.02G083800 ID=Glyma.02G083800.3.Wm82.a,-0.6445873245465304,0.3099292044808311,7960700.0,5092266.666666667
Glyma.02G084400.1.p,,,Glyma.02G084400.1.p pacid=30508586 transcript=Glyma.02G084400.1 locus=Glyma.02G084400 ID=Glyma.02G084400.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,-0.2909225767697355,0.5730118393350893,119418666.66666669,97610333.33333331
Glyma.11G020100.1.p;Glyma.11G019500.1.p;Glyma.02G085300.1.p,,,Glyma.11G020100.1.p pacid=30528336 transcript=Glyma.11G020100.1 locus=Glyma.11G020100 ID=Glyma.11G020100.1.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.11G019500.1.p pacid=30527682 transcript=Glyma.11G019500.1 locus=Glyma.11G019500 ID=Glyma.11G019500.1.Wm82.a,-0.6296788128875845,0.0340588559213164,1270933333.3333333,821430000.0
Glyma.07G170700.2.p;Glyma.07G170700.1.p;Glyma.02G085500.1.p;Glyma.08G046200.1.p;Glyma.05G239100.1.p;Glyma.03G127500.1.p;Glyma.19G130100.1.p,,,Glyma.07G170700.2.p pacid=30494205 transcript=Glyma.07G170700.2 locus=Glyma.07G170700 ID=Glyma.07G170700.2.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.07G170700.1.p pacid=30494206 transcript=Glyma.07G170700.1 locus=Glyma.07G170700 ID=Glyma.07G170700.1.Wm82.a,-0.0314651478825686,0.8117504086589669,16486000.0,16130333.333333334
Glyma.02G085800.1.p;Glyma.07G171100.2.p;Glyma.07G171100.1.p,,,Glyma.02G085800.1.p pacid=30506307 transcript=Glyma.02G085800.1 locus=Glyma.02G085800 ID=Glyma.02G085800.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.4461853430200633,0.1836012415144277,75373000.0,102690666.66666669
Glyma.02G086100.1.p,,,Glyma.02G086100.1.p pacid=30508713 transcript=Glyma.02G086100.1 locus=Glyma.02G086100 ID=Glyma.02G086100.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.3794454193508737,0.7739357197077954,203440320.0,264643653.3333333
Glyma.02G087700.3.p;Glyma.02G087700.2.p;Glyma.02G087700.4.p;Glyma.02G087700.1.p,,,Glyma.02G087700.3.p pacid=30506970 transcript=Glyma.02G087700.3 locus=Glyma.02G087700 ID=Glyma.02G087700.3.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G087700.2.p pacid=30506969 transcript=Glyma.02G087700.2 locus=Glyma.02G087700 ID=Glyma.02G087700.2.Wm82.a,-0.7882112960183255,0.1564633738305439,31180333.33333333,18055333.33333333
Glyma.02G087800.1.p,,,Glyma.02G087800.1.p pacid=30509386 transcript=Glyma.02G087800.1 locus=Glyma.02G087800 ID=Glyma.02G087800.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.8673558660787981,0.2363330709591621,6771486.666666667,12353333.333333334
Glyma.02G088200.4.p;Glyma.02G088200.2.p;Glyma.02G088200.1.p;Glyma.02G088200.3.p;Glyma.13G001100.2.p;Glyma.13G001100.1.p,,,Glyma.02G088200.4.p pacid=30506253 transcript=Glyma.02G088200.4 locus=Glyma.02G088200 ID=Glyma.02G088200.4.Wm82.a2.v1 annot-version=Wm82.a2.v1;Glyma.02G088200.2.p pacid=30506252 transcript=Glyma.02G088200.2 locus=Glyma.02G088200 ID=Glyma.02G088200.2.Wm82.a,0.7241612079296706,0.1001934714910295,69427666.66666667,114690333.33333331
Glyma.02G088700.1.p,,,Glyma.02G088700.1.p pacid=30508779 transcript=Glyma.02G088700.1 locus=Glyma.02G088700 ID=Glyma.02G088700.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,4.531706721489596,0.1938390719617033,70960.0,1641320.0
Glyma.02G091100.1.p,,,Glyma.02G091100.1.p pacid=30509282 transcript=Glyma.02G091100.1 locus=Glyma.02G091100 ID=Glyma.02G091100.1.Wm82.a2.v1 annot-version=Wm82.a2.v1,0.5651698573998446,0.1582951238843759,35774333.333333336,52930333.333333336
