ChEBI	Name	Log2FC	P_Value	FDR	KEGG
CHEBI:142248	6''-Malonylastragalin	12.117480772832984	7.450115978649134e-08	1.1172682370666242e-06	
CHEBI:80372	6''-Malonylgenistin	12.090443275081606	5.283273665148218e-07	4.173786195467092e-06	
CHEBI:133395	6''-O-Acetyldaidzin	12.299494239009364	1.722554540691766e-08	6.804090435732476e-07	
CHEBI:142249	6''-O-Acetylgenistin	12.201817616667922	2.1275771037144998e-07	2.1009823899180688e-06	
CHEBI:142265	Isosojagol	2.6338895629100434	0.0136338350887594	0.028344025579262962	
CHEBI:16828	L-Tryptophan	11.97692206785108	1.859807700749127e-06	9.182800522448815e-06	C00078
CHEBI:142267	Methyl N-methylanthranilate	12.117480772832984	3.4276373033129456e-08	7.498267409707212e-07	C03005
