ChEBI	Name	Level
CHEBI:142248	6''-Malonylastragalin	2
CHEBI:80372	6''-Malonylgenistin	2
CHEBI:133395	6''-O-Acetyldaidzin	2
CHEBI:142249	6''-O-Acetylgenistin	2
CHEBI:142265	Isosojagol	2
CHEBI:16828	L-Tryptophan	2
CHEBI:142267	Methyl N-methylanthranilate	2
CHEBI:142241	(E)-3-Hexadecenoic acid	2
CHEBI:72719	4E,15Z-Bilirubin IXa	2
CHEBI:75610	Monolinolenin (9c,12c,15c)	2
