Mode	Hits10_Mean	Hits10_Std	Hits20_Mean	Hits20_Std	MRR_Mean	MRR_Std
enzyme_only	0.0912	0.0678	0.1608	0.1045	0.0539	0.0312
enzyme_tf	0.0914	0.0510	0.1580	0.0908	0.0400	0.0202
tf_only	0.1069	0.0438	0.1652	0.0490	0.0456	0.0206
