metabolite_kegg,uniprot_id,score
C00007,P02957,0.7168113589286804
C00012,P02957,0.8978752493858337
C00015,I1MZ35,0.6658107042312622
C00016,P02957,0.8241935968399048
C00017,I1L345,0.8659471869468689
C00018,P02957,0.688614547252655
C00019,I1MZ35,0.6333074569702148
C00021,I1MZ35,0.6353495717048645
C00022,P02957,0.6990784406661987
C00024,I1N0Y1,0.6205071806907654
