Rank,TF_ID,TF_Name,Enzyme_ID,Enzyme_Name,Score,TF_Desc,Enzyme_Desc,pathway_context,isoflavonoid_related,tf_motif_available,tf_family
1,3847.I1N4K6,I1N4K6_SOYBN,3847.I1JPX3,I1JPX3_SOYBN,0.9969611763954164,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,methylation; signaling,False,False,ERF/AP2
2,3847.I1N4K6,I1N4K6_SOYBN,3847.I1LZF4,I1LZF4_SOYBN,0.9967228770256042,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,methylation; signaling,False,False,ERF/AP2
3,3847.I1N4K6,I1N4K6_SOYBN,3847.I1L3F8,I1L3F8_SOYBN,0.996638298034668,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,"3-hydroxy-3-methylglutaryl coenzyme A synthase; This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase.",methylation,False,False,ERF/AP2
4,3847.I1NFB9,I1NFB9_SOYBN,3847.Q5NUF3,HIDH,0.9965463280677797,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.,isoflavonoid_biosynthesis,True,False,ERF/AP2
5,3847.I1N4K6,I1N4K6_SOYBN,3847.K7LHS5,K7LHS5_SOYBN,0.99653959274292,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,methylation; signaling,False,False,ERF/AP2
6,3847.I1N4K6,I1N4K6_SOYBN,3847.A0A0R0EQY1,A0A0R0EQY1,0.996510922908783,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,methylation; signaling,False,False,ERF/AP2
7,3847.I1N4K6,I1N4K6_SOYBN,3847.K7K8Z6,K7K8Z6_SOYBN,0.9965020418167114,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,methylation; signaling,False,False,ERF/AP2
8,3847.A0A0R0J1V3,A0A0R0J1V3,3847.Q5NUF3,HIDH,0.9964757561683656,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.,isoflavonoid_biosynthesis,True,False,ERF/AP2
9,3847.A0A0R4J446,A0A0R4J446,3847.Q5NUF3,HIDH,0.9964236617088318,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.,isoflavonoid_biosynthesis,True,False,ERF/AP2
10,3847.I1N4K6,I1N4K6_SOYBN,3847.K7M7G9,K7M7G9_SOYBN,0.9960564374923706,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,methylation; signaling,False,False,ERF/AP2
11,3847.I1NFB9,I1NFB9_SOYBN,3847.A6BM07,GmIF7GT1,0.9959575533866882,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,"Isoflavone 7-O-glucosyltransferase 1; Involved in the biosynthesis of isoflavonoids. Specific for UDP-glucose. Can use genistein > daidzein > formononetin > quercetin > kaempferol > 4,2',4',6'-tetrahydroxychalcone > apigenin > aureusidin > esculetin > naringenin as substrates, but not cyanidin, trans-p- coumaric acid, caffeic acid, benzoic acid, m- and p-hydroxybenzoic acids, salicylic acid, salicyl alcohol, and hydroquinone.",glycosylation,True,False,ERF/AP2
12,3847.I1NFB9,I1NFB9_SOYBN,3847.I1JPX3,I1JPX3_SOYBN,0.9959204196929932,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,Protein kinase domain-containing protein.,signaling,False,False,ERF/AP2
13,3847.I1N4K6,I1N4K6_SOYBN,3847.I1JA26,I1JA26_SOYBN,0.9958654642105104,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,"3-hydroxy-3-methylglutaryl coenzyme A synthase; This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase.",methylation,False,False,ERF/AP2
14,3847.A0A0R0J1V3,A0A0R0J1V3,3847.A6BM07,GmIF7GT1,0.995836853981018,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,"Isoflavone 7-O-glucosyltransferase 1; Involved in the biosynthesis of isoflavonoids. Specific for UDP-glucose. Can use genistein > daidzein > formononetin > quercetin > kaempferol > 4,2',4',6'-tetrahydroxychalcone > apigenin > aureusidin > esculetin > naringenin as substrates, but not cyanidin, trans-p- coumaric acid, caffeic acid, benzoic acid, m- and p-hydroxybenzoic acids, salicylic acid, salicyl alcohol, and hydroquinone.",glycosylation,True,False,ERF/AP2
15,3847.I1LF24,I1LF24_SOYBN,3847.Q5NUF3,HIDH,0.9958207607269288,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.,isoflavonoid_biosynthesis,True,False,ERF/AP2
16,3847.I1N4K6,I1N4K6_SOYBN,3847.I1JZA5,I1JZA5_SOYBN,0.9957543611526488,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,methylation; signaling,False,False,ERF/AP2
17,3847.A0A0R4J446,A0A0R4J446,3847.A6BM07,GmIF7GT1,0.9956607222557068,Protein kinase domain-containing protein; Belongs to the protein kinase superfamily.,"Isoflavone 7-O-glucosyltransferase 1; Involved in the biosynthesis of isoflavonoids. Specific for UDP-glucose. Can use genistein > daidzein > formononetin > quercetin > kaempferol > 4,2',4',6'-tetrahydroxychalcone > apigenin > aureusidin > esculetin > naringenin as substrates, but not cyanidin, trans-p- coumaric acid, caffeic acid, benzoic acid, m- and p-hydroxybenzoic acids, salicylic acid, salicyl alcohol, and hydroquinone.",glycosylation,True,False,ERF/AP2
18,3847.I1NFB9,I1NFB9_SOYBN,3847.I1LZF4,I1LZF4_SOYBN,0.9956570863723756,Diphosphomevalonate decarboxylase; Performs the first committed step in the biosynthesis of isoprene-containing compounds such as sterols and terpenoids. Belongs to the diphosphomevalonate decarboxylase family.,Protein kinase domain-containing protein.,signaling,False,False,ERF/AP2
19,3847.A0A0R0GDY6,A0A0R0GDY6,3847.Q5NUF3,HIDH,0.9955995082855223,Uncharacterized protein; Belongs to the thiolase-like superfamily. Thiolase family.,2-hydroxyisoflavanone dehydratase; Dehydratase that mediates the biosynthesis of isoflavonoids. Can use both 4'-hydroxylated and 4'-methoxylated 2-hydroxyisoflavanones as substrates. Has also a slight carboxylesterase activity toward p- nitrophenyl butyrate; Belongs to the 'GDXG' lipolytic enzyme family.,isoflavonoid_biosynthesis,True,False,ERF/AP2
20,3847.I1N4K6,I1N4K6_SOYBN,3847.I1LCP7,I1LCP7_SOYBN,0.995583713054657,Uncharacterized protein; Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family.,Protein kinase domain-containing protein.,methylation; signaling,False,False,ERF/AP2
