database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	Control_1	Control_2	Control_3	Control_4	ABA_1	ABA_2	ABA_3	ABA_4	ethylene_1	ethylene_2	ethylene_3	ethylene_4	ABA_ethylene_1	ABA_ethylene_2	ABA_ethylene_3	ABA_ethylene_4
CHEBI:28044	C9H11NO2	NC(Cc1ccccc1)C(O)=O	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	DL-Phenylalanine	165.1			pos	1.64	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							4.26	4.38	4.41	4.45	4.73	4.93	4.95	4.85	4.65	4.62	4.61	4.66	5.11	5.04	5.14	5.02
CHEBI:18416	C12H22N2O6S	CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(O)=O	InChI=1S/C12H22N2O6S/c1-12(2,6-15)9(17)10(18)13-4-3-8(16)14-7(5-21)11(19)20/h7,9,15,17,21H,3-6H2,1-2H3,(H,13,18)(H,14,16)(H,19,20)/t7-,9-/m0/s1	D-Pantothenoyl-L-cysteine	322.1			pos	8.37	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	0	0	0	0	0	0	0	0	0	0	0	4.12	4.23	4.28	4.19
CHEBI:18088	C16H12O4	COc1ccc(cc1)-c1coc2cc(O)ccc2c1=O	InChI=1S/C16H12O4/c1-19-12-5-2-10(3-6-12)14-9-20-15-8-11(17)4-7-13(15)16(14)18/h2-9,17H,1H3	Formononetin	268.1			pos	8.3	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							4.57	4.56	4.57	4.57	4.29	4.33	4.33	4.38	5.01	5.01	5.01	5.03	5.4	5.43	5.46	5.43
CHEBI:142258	C32H42O9	[C@@]12([C@@H](C(C3=C([C@@]1(C(C[C@@]2([C@@H](CC(CC(C(O)=O)C)=O)C)[H])=O)C)C(C[C@@]4([C@@]3(CCC(C4(C)C)=O)C)[H])=O)=O)OC(=O)C)C	InChI=1S/C32H42O9/c1-15(11-18(34)12-16(2)28(39)40)19-13-23(37)32(8)24-20(35)14-21-29(4,5)22(36)9-10-30(21,6)25(24)26(38)27(31(19,32)7)41-17(3)33/h15-16,19,21,27H,9-14H2,1-8H3,(H,39,40)/t15-,16?,19-,21+,27-,30+,31+,32+/m1/s1	Ganoderic acid F	570.3			pos	14.65	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							5.27	5.26	5.31	5.24	0	0	4.19	0	0	4.37	4.46	4.44	4.8	4.87	4.87	4.84
CHEBI:142258	C32H42O9	[C@@]12([C@@H](C(C3=C([C@@]1(C(C[C@@]2([C@@H](CC(CC(C(O)=O)C)=O)C)[H])=O)C)C(C[C@@]4([C@@]3(CCC(C4(C)C)=O)C)[H])=O)=O)OC(=O)C)C	InChI=1S/C32H42O9/c1-15(11-18(34)12-16(2)28(39)40)19-13-23(37)32(8)24-20(35)14-21-29(4,5)22(36)9-10-30(21,6)25(24)26(38)27(31(19,32)7)41-17(3)33/h15-16,19,21,27H,9-14H2,1-8H3,(H,39,40)/t15-,16?,19-,21+,27-,30+,31+,32+/m1/s1	Ganoderic acid F	570.3			pos	14.69	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	0	4.18	0	5.14	5.19	5.2	5.29	4.45	0	0	0	0	0	0	0
CHEBI:142261	C30H48O2	C1([C@]2([C@](CC[C@@H]1O)(C=3C(=CC2)[C@]4([C@@](CC3)(C)[C@@](CC4)([H])[C@@H](CC/C=C(/CO)C)C)C)C)[H])(C)C	InChI=1S/C30H48O2/c1-20(19-31)9-8-10-21(2)22-13-17-30(7)24-11-12-25-27(3,4)26(32)15-16-28(25,5)23(24)14-18-29(22,30)6/h9,11,14,21-22,25-26,31-32H,8,10,12-13,15-19H2,1-7H3/b20-9+/t21-,22-,25+,26+,28-,29-,30+/m1/s1	Ganoderol B	440.4			pos	8.91	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.29	4.27	4.28	4.4	4.39	4.21	4.39	4.36	4.27	4.45	4.22	4.18	4.33	4.03	4.26	4.38
CHEBI:142262	C22H26O6	C=1(C(=CC=C(C1)CCC(/C=C/CCC=2C=C(C(=C(C2)OC)O)OC)=O)O)OC	InChI=1S/C22H26O6/c1-26-19-12-15(9-11-18(19)24)8-10-17(23)7-5-4-6-16-13-20(27-2)22(25)21(14-16)28-3/h5,7,9,11-14,24-25H,4,6,8,10H2,1-3H3/b7-5+	Gingerenone B	386.2			pos	9.03	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.51	4.54	4.44	4.55	4.07	4.12	4.09	4.15	4.53	4.55	4.53	4.58	4.53	4.57	4.56	4.57
CHEBI:69081	C19H38O4	CCCCCCCCCCCCCCCC(=O)OCC(O)CO	InChI=1S/C19H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-19(22)23-17-18(21)16-20/h18,20-21H,2-17H2,1H3	Glycerol 1-hexadecanoate	330.3			pos	12.7	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							4.7	4.78	5.13	5.22	4.81	4.85	4.92	5.26	5.35	5.26	4.93	5.32	4.89	4.98	4.93	4.92
CHEBI:75555	C21H42O4	CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO	InChI=1S/C21H42O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h20,22-23H,2-19H2,1H3	Glycerol 1-stearate	358.3			pos	13.6	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							5.78	6.13	6.27	6.12	5.92	6.12	6.19	6.18	6.2	6.15	5.78	6.15	5.97	6.3	6.33	6.39
CHEBI:80630	C33H38N4O6	C1(=CC=C2C(=C1)C(=C3C(=N2)C=4N(C3)C(C5=C(C4)[C@](C(OC5)=O)(CC)O)=O)CC)OC(=O)N6CCC(CC6)N7CCCCC7	InChI=1S/C33H38N4O6/c1-3-22-23-16-21(43-32(40)36-14-10-20(11-15-36)35-12-6-5-7-13-35)8-9-27(23)34-29-24(22)18-37-28(29)17-26-25(30(37)38)19-42-31(39)33(26,41)4-2/h8-9,16-17,20,41H,3-7,10-15,18-19H2,1-2H3/t33-/m0/s1	Irinotecan	586.3			pos	14.11	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							5.49	0	5.51	5.43	5.09	5.32	5.22	5.23	0	0	0	4.14	0	0	0	4.37
CHEBI:80630	C33H38N4O6	C1(=CC=C2C(=C1)C(=C3C(=N2)C=4N(C3)C(C5=C(C4)[C@](C(OC5)=O)(CC)O)=O)CC)OC(=O)N6CCC(CC6)N7CCCCC7	InChI=1S/C33H38N4O6/c1-3-22-23-16-21(43-32(40)36-14-10-20(11-15-36)35-12-6-5-7-13-35)8-9-27(23)34-29-24(22)18-37-28(29)17-26-25(30(37)38)19-42-31(39)33(26,41)4-2/h8-9,16-17,20,41H,3-7,10-15,18-19H2,1-2H3/t33-/m0/s1	Irinotecan	586.3			pos	14.24	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							5.43	5.49	0	0	5.23	5.11	5.39	5.41	0	0	0	0	0	0	4.46	0
