database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	Control_1	Control_2	Control_3	Control_4	ABA_1	ABA_2	ABA_3	ABA_4	ethylene_1	ethylene_2	ethylene_3	ethylene_4	ABA_ethylene_1	ABA_ethylene_2	ABA_ethylene_3	ABA_ethylene_4
CHEBI:142268	C14H14N2O5	C=12C=CC=CC1NC=C2CC(C(=O)O)NC(=O)CC(O)=O	InChI=1S/C14H14N2O5/c17-12(6-13(18)19)16-11(14(20)21)5-8-7-15-10-4-2-1-3-9(8)10/h1-4,7,11,15H,5-6H2,(H,16,17)(H,18,19)(H,20,21)	N-Malonyltryptophan	290.1			pos	5.06	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							3.93	4.02	3.96	3.94	3.32	3.77	3.66	3.7	3.01	2.26	2.24	3.02	4.38	4.45	4.37	4.44
CHEBI:116314	C18H35NO	CCCCCCCCC=C/CCCCCCCC(N)=O	InChI=1S/C18H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h9-10H,2-8,11-17H2,1H3,(H2,19,20)/b10-9-	Oleamide	281.3			pos	12.95	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							5.03	5.07	5.08	5.07	4.26	4.29	4.3	4.3	5.08	5.04	5.08	5.06	3.51	3.65	3.47	3.55
CHEBI:142269	C18H28O3	CCCCCCCC(C(CC#CC#CC(C=C)O)O)OC	InChI=1S/C18H28O3/c1-4-6-7-8-12-15-18(21-3)17(20)14-11-9-10-13-16(19)5-2/h5,16-20H,2,4,6-8,12,14-15H2,1,3H3	Panaquinquecol 1	292.2			pos	9.37	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.38	4.44	4.42	4.9	4.17	4.78	4.81	4.42	4.64	4.59	4.64	4.57	4.49	4.28	4.2	4.64
CHEBI:142270	C43H78NO8P	[C@](COC(=O)CCCC/C=C/CCC/C=CC/C=CCCCCC)(OC(=O)CCCCCCC/C=CCCCCCCCC)([H])COP(OCCN)(O)=O	InChI=1S/C43H78NO8P/c1-3-5-7-9-11-13-15-17-19-20-22-23-25-27-29-31-33-35-42(45)49-39-41(40-51-53(47,48)50-38-37-44)52-43(46)36-34-32-30-28-26-24-21-18-16-14-12-10-8-6-4-2/h11,13,17-19,21,25,27,41H,3-10,12,14-16,20,22-24,26,28-40,44H2,1-2H3,(H,47,48)/b13-11-,19-17-,21-18-,27-25+/t41-/m1/s1	PE(20:2(11Z,14Z)/18:1(9Z))	769.6			pos	14.93	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.37	4.44	4.28	4.42	4.27	4.31	4.35	4.44	2.89	0	2.49	2.91	2.83	3.55	3.14	2.85
CHEBI:89353	C42H79O10P	C([C@@](COC(CCCCCCC/C=CC/C=CCCCCC)=O)(OC(CCCCCCCCCCCCCCCCC)=O)[H])OP(=O)(O)OC[C@@](CO)([H])O	InChI=1S/C42H79O10P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-41(45)49-37-40(38-51-53(47,48)50-36-39(44)35-43)52-42(46)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h11,13,17,19,39-40,43-44H,3-10,12,14-16,18,20-38H2,1-2H3,(H,47,48)/b13-11-,19-17-/t39-,40+/m0/s1	PG(18:2(9Z,12Z)/18:0)	774.5			pos	14.92	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							5.1	5.03	5.04	5.05	5.04	5.08	5.18	5.13	4.64	0	4.58	4.56	4.7	4.66	4.69	4.64
CHEBI:108	C20H20O4	C12=C3C(=CC=C2OC(CC1)(C)C)[C@]4([C@@](O3)(C=5C=CC(O)=CC5OC4)[H])[H]	InChI=1S/C20H20O4/c1-20(2)8-7-14-16(24-20)6-5-12-15-10-22-17-9-11(21)3-4-13(17)19(15)23-18(12)14/h3-6,9,15,19,21H,7-8,10H2,1-2H3/t15-,19-/m0/s1	Phaseollin	322.1			pos	9.34	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	0	0	0	0	0	0	0	2.63	2.52	0	0	3.86	4.17	3.95	4.02
CHEBI:64681	C12H14O7	O[C@H]1[C@@H](O[C@@H]([C@@H](O)[C@@H]1O)C(O)=O)Oc1ccccc1	InChI=1S/C12H14O7/c13-7-8(14)10(11(16)17)19-12(9(7)15)18-6-4-2-1-3-5-6/h1-5,7-10,12-15H,(H,16,17)/t7-,8-,9+,10-,12+/m0/s1	Phenylglucuronide	270.1			pos	0.99	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.55	4.6	4.68	4.69	4.58	4.61	4.65	4.62	4.36	4.23	4.32	4.41	4.19	4.28	4.19	4.19
CHEBI:142271	C43H84O16P2	[C@@H]1(C(C(C([C@H](C1O)OP(=O)(O)O)O)O)O)OP(OC[C@](COC(CCCCCCCCCCCCCCCCC)=O)([H])OC(CCCCCCCCCCCCCCC)=O)(O)=O	InChI=1S/C43H84O16P2/c1-3-5-7-9-11-13-15-17-18-20-21-23-25-27-29-31-36(44)55-33-35(57-37(45)32-30-28-26-24-22-19-16-14-12-10-8-6-4-2)34-56-61(53,54)59-43-40(48)38(46)39(47)42(41(43)49)58-60(50,51)52/h35,38-43,46-49H,3-34H2,1-2H3,(H,53,54)(H2,50,51,52)/t35-,38?,39?,40?,41?,42-,43+/m1/s1	PIP(18:0/16:0)	918.5			pos	9.42	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.59	4.54	4.51	4.52	4.53	4.57	4.59	4.57	4.57	4.54	4.58	4.52	4.35	4.36	4.41	4.3
CHEBI:142272	C47H82O16P2	O(C[C@](COP(O)(=O)O[C@H]1C(C(C([C@H](C1O)OP(=O)(O)O)O)O)O)(OC(CCC/C=CC/C=CC/C=CC/C=CCCCCC)=O)[H])C(CCCCCCCCC/C=CCCCCCC)=O	InChI=1S/C47H82O16P2/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)61-39(37-59-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2)38-60-65(57,58)63-47-44(52)42(50)43(51)46(45(47)53)62-64(54,55)56/h11,13-14,16-17,19,22,24,28,30,39,42-47,50-53H,3-10,12,15,18,20-21,23,25-27,29,31-38H2,1-2H3,(H,57,58)(H2,54,55,56)/b13-11-,16-14-,19-17-,24-22-,30-28-/t39-,42?,43?,44?,45?,46-,47+/m1/s1	PIP(18:1(11Z)/20:4(5Z,8Z,11Z,14Z))	964.5			pos	8.93	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							3.71	3.91	3.94	4.27	3.85	4.12	4.25	4.22	3.74	3.84	3.81	3.89	3.96	4.06	4.07	4.19
CHEBI:8286	C28H48O	CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3CC[C@H]4C[C@@H](O)CC[C@@]44C[C@@]34CC[C@]12C	InChI=1S/C28H48O/c1-19(2)7-6-8-20(3)23-12-13-26(5)24-10-9-21-17-22(29)11-14-27(21)18-28(24,27)16-15-25(23,26)4/h19-24,29H,6-18H2,1-5H3/t20-,21+,22+,23-,24+,25-,26+,27-,28+/m1/s1	Pollinastanol	400.4			pos	8.91	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.26	4.14	4.23	4.4	4.22	4.25	4.25	4.32	4.27	4.43	4.18	4.17	4.24	4.15	4.32	4.39
CHEBI:142273	C21H40O3	CCCCCCC(CC=CCCCCCCCC(=O)OCCC)O	InChI=1S/C21H40O3/c1-3-5-6-13-16-20(22)17-14-11-9-7-8-10-12-15-18-21(23)24-19-4-2/h11,14,20,22H,3-10,12-13,15-19H2,1-2H3/b14-11+	Polyoxyethylene (600) monoricinoleate	340.3			pos	13.59	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							5.8	5.84	5.99	5.84	5.64	5.84	5.91	5.91	5.91	5.87	5.82	5.86	6	6.02	6.05	6.1
CHEBI:142274	C18H26O2	C1=CC(=CC=C1)CC(OCC[C@H](CCCC(=C)C)C)=O	InChI=1S/C18H26O2/c1-15(2)8-7-9-16(3)12-13-20-18(19)14-17-10-5-4-6-11-17/h4-6,10-11,16H,1,7-9,12-14H2,2-3H3/t16-/m0/s1	Rhodinyl phenylacetate	274.2			pos	7.26	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.12	4.19	4.14	4.19	4.1	4.16	4.12	4.21	3.88	3.61	3.56	3.91	3.74	3.97	3.88	3.82
CHEBI:142274	C18H26O2	C1=CC(=CC=C1)CC(OCC[C@H](CCCC(=C)C)C)=O	InChI=1S/C18H26O2/c1-15(2)8-7-9-16(3)12-13-20-18(19)14-17-10-5-4-6-11-17/h4-6,10-11,16H,1,7-9,12-14H2,2-3H3/t16-/m0/s1	Rhodinyl phenylacetate	274.2			pos	9.39	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.66	4.65	4.63	4.7	4.55	4.57	4.6	4.59	4.49	4.58	4.53	4.5	4.41	4.4	4.42	4.41
CHEBI:8878	C33H40O19	C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(oc4cc(O[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)cc(O)c4c3=O)-c3ccc(O)cc3)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O	InChI=1S/C33H40O19/c1-10-19(36)23(40)26(43)31(47-10)46-9-17-21(38)25(42)28(45)33(51-17)52-30-22(39)18-15(35)7-14(49-32-27(44)24(41)20(37)11(2)48-32)8-16(18)50-29(30)12-3-5-13(34)6-4-12/h3-8,10-11,17,19-21,23-28,31-38,40-45H,9H2,1-2H3/t10-,11-,17+,19-,20-,21-,23+,24+,25-,26+,27+,28+,31+,32-,33-/m0/s1	Robinin	740.2			pos	5.1	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							4.03	4.15	4.07	4.15	3.02	3.89	0	3.73	3.33	3.08	2.24	3.21	0	0	0	0
CHEBI:142275	C12H18O3	CCCCC(C1CCCC=C1C(=O)O)=O	InChI=1S/C12H18O3/c1-2-3-8-11(13)9-6-4-5-7-10(9)12(14)15/h7,9H,2-6,8H2,1H3,(H,14,15)	Sedanonic acid	210.1			pos	6.2	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	3.19	2.97	3.34	3.08	3.88	3.92	4	4.53	4.51	4.5	4.57	3.53	3.89	3.52	3.65
CHEBI:142276	C40H75NO9	O(C[C@@H]([C@@H](/C=C/CC/C=C/CCCCCCCCC)O)NC(=O)[C@@H](CCCCCCCCCCCCCC)O)[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O	InChI=1S/C40H75NO9/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-33(43)32(31-49-40-38(47)37(46)36(45)35(30-42)50-40)41-39(48)34(44)29-27-25-23-21-18-16-14-12-10-8-6-4-2/h19-20,26,28,32-38,40,42-47H,3-18,21-25,27,29-31H2,1-2H3,(H,41,48)/b20-19+,28-26+/t32-,33+,34+,35+,36+,37-,38+,40+/m0/s1	Soyacerebroside I	713.5			pos	14.17	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							3.31	3.89	3.68	3.74	3.63	4.02	3.89	3.93	4.38	4.29	4.28	4.37	4.11	4.23	4.24	4.16
CHEBI:62867	C42H68O14	[H][C@@]12CC(C)(C)C[C@@H](O)[C@]1(C)CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O[C@@H]4O[C@@H]([C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)C(O)=O)[C@](C)(CO)[C@]3([H])CC[C@@]12C	InChI=1S/C42H68O14/c1-37(2)16-21-20-8-9-24-39(4)12-11-26(40(5,19-44)23(39)10-13-42(24,7)41(20,6)15-14-38(21,3)25(45)17-37)54-36-33(30(49)29(48)32(55-36)34(51)52)56-35-31(50)28(47)27(46)22(18-43)53-35/h8,21-33,35-36,43-50H,9-19H2,1-7H3,(H,51,52)/t21-,22+,23+,24+,25+,26-,27-,28-,29-,30-,31+,32-,33+,35-,36+,38+,39-,40+,41+,42+/m0/s1	Soyasaponin III	796.5			pos	9.13	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.79	4.98	5	4.93	4.87	4.9	4.96	4.99	5.01	4.97	4.97	5	4.87	4.83	4.72	4.72
CHEBI:142239	C7H14N2O7S	S(O)(=O)(=O)CC(NC(=O)C(N)C(O)C)C(O)=O	InChI=1S/C7H14N2O7S/c1-3(10)5(8)6(11)9-4(7(12)13)2-17(14,15)16/h3-5,10H,2,8H2,1H3,(H,9,11)(H,12,13)(H,14,15,16)	Thr-Cys(Trioxidation)	270.1			pos	7.75	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							4.71	4.71	4.71	4.74	4.86	4.88	4.91	4.91	5.1	5.08	5.09	5.08	4.35	4.37	4.35	4.31
CHEBI:18123	C7H7NO2	C[n+]1cccc(c1)C([O-])=O	InChI=1S/C7H7NO2/c1-8-4-2-3-6(5-8)7(9)10/h2-5H,1H3	Trigonelline	137			pos	1.17	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:1							4.97	4.97	4.98	4.98	4.83	4.87	4.93	4.95	5.03	5	5.02	5.04	4.63	0	4.45	4.61
CHEBI:75011	C10H18N2O5	CC(C)[C@H](N)C(=O)N[C@@H](CCC(O)=O)C(O)=O	InChI=1S/C10H18N2O5/c1-5(2)8(11)9(15)12-6(10(16)17)3-4-7(13)14/h5-6,8H,3-4,11H2,1-2H3,(H,12,15)(H,13,14)(H,16,17)/t6-,8-/m0/s1	Val-Glu	246.1			pos	6.44	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							0	0	0	0	0	0	0	0	0	0	0	0	4.6	4.66	4.58	4.68
CHEBI:142277	C20H26O4	C=CC1(C)C(C=C2C3(C)CC(C(C(C)(C)C3CCC24C1O4)O)=O)=O	InChI=1S/C20H26O4/c1-6-18(4)14(22)9-13-19(5)10-11(21)15(23)17(2,3)12(19)7-8-20(13)16(18)24-20/h6,9,12,15-16,23H,1,7-8,10H2,2-5H3	Yucalexin P8	330.2			pos	10.29	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3847	Glycine max			MSI:2							3.59	3.97	3.59	3.45	0	3.66	3.61	3.77	3.97	4.08	3.91	4.03	2.74	3.19	2.99	2.96
