gene_id	ec
100499626	1.14.19.35
100499626	1.14.19.36
100499629	2.7.10.1
100499629	2.7.11.1
100499634	2.1.2.1
100499635	2.1.2.1
100499642	2.7.11.1
100499643	2.7.11.1
100499662	1.6.5.2
100499664	3.4.25.1
100499668	2.3.1.4
100499698	2.3.2.23
100499712	2.3.1.133
100499713	3.1.3.16
100499738	3.4.25.1
100499741	2.3.2.23
100499743	1.1.1.284
100499743	1.1.1.1
100499756	3.4.25.1
100499771	1.11.1.25
100499775	2.3.2.23
100499795	3.4.25.1
100499824	2.3.2.23
100499826	7.1.1.2
100499837	7.1.1.2
100499845	6.3.4.5
100499854	5.2.1.8
100499870	1.6.5.2
100499873	3.1.1.112
100499891	2.3.2.23
100499893	1.8.4.12
100499900	2.3.2.23
100499904	2.4.2.7
100499905	2.4.1.207
100499911	2.5.1.18
100499945	1.8.7.2
100499961	2.3.1.258
100499961	2.3.1.309
100499966	5.2.1.8
100499989	4.1.1.36
100499991	1.15.1.1
100500018	5.2.1.8
100500036	1.11.1.9
100500040	3.6.1.1
100500045	2.3.2.32
100500052	2.5.1.18
100500061	2.3.2.27
100500084	1.6.5.4
100500085	5.1.3.1
100500105	3.6.1.52
100500111	2.7.4.14
100500116	2.7.1.25
100500125	4.99.1.4
100500160	2.8.1.7
100500160	4.4.1.16
100500185	6.3.4.2
100500200	1.1.1.284
100500200	1.1.1.1
100500201	1.1.1.284
100500201	1.1.1.1
100500214	3.6.1.12
100500231	2.3.2.23
100500260	3.1.1.4
100500281	2.5.1.18
100500283	5.2.1.8
100500294	3.6.1.12
100500302	3.5.99.10
100500318	2.3.1.257
100500321	2.4.1.83
100500353	4.3.2.10
100500361	2.5.1.18
100500365	3.6.1.1
100500406	5.2.1.8
100500423	4.4.1.14
100500424	3.5.1.88
100500425	6.3.2.1
100500448	4.2.1.1
100500451	5.2.1.8
100500474	2.3.2.23
100500477	2.5.1.18
100500478	2.7.4.6
100500504	4.1.1.39
100500547	5.2.1.8
100500551	3.4.23.40
100500581	2.3.2.23
100500592	1.13.11.53
100500592	1.13.11.54
100500596	2.3.1.9
100500602	4.1.2.25
100500602	5.1.99.8
100500602	1.13.11.81
100500610	1.11.1.24
100500617	3.1.3.16
100500621	4.2.1.139
100500630	3.4.19.3
100500632	1.13.11.53
100500632	1.13.11.54
100500657	2.1.1.104
100500662	2.3.2.31
100500665	2.3.2.23
100500680	2.5.1.18
100500685	1.6.5.2
100526845	5.3.4.1
100526858	2.4.2.7
100526866	3.1.1.29
100526881	2.3.2.27
100526908	4.1.2.25
100526908	5.1.99.8
100526908	1.13.11.81
100526919	2.3.2.32
100526933	4.2.1.18
100526948	1.3.2.3
100526955	5.2.1.8
100526989	2.4.1.141
100526991	5.2.1.2
100527024	1.14.19.42
100527026	2.3.1.188
100527027	3.4.25.1
100527034	1.11.1.9
100527039	2.3.2.27
100527041	3.2.1.52
100527058	1.15.1.1
100527069	2.3.2.27
100527076	3.6.1.12
100527082	2.1.1.77
100527085	1.8.4.11
100527091	3.2.1.14
100527105	2.3.2.23
100527126	2.3.2.27
100527127	3.6.1.52
100527131	3.1.2.6
100527141	2.7.4.6
100527150	4.2.1.134
100527163	2.7.4.8
100527165	2.3.1.258
100527165	2.3.1.309
100527169	2.3.2.26
100527174	3.4.25.1
100527183	5.2.1.8
100527186	3.6.1.52
100527196	2.3.2.23
100527219	3.1.3.48
100527221	2.5.1.18
100527248	2.7.7.72
100527255	4.6.1.19
100527259	7.2.1.3
100527283	1.11.1.9
100527297	1.11.1.9
100527302	3.6.1.15
100527305	2.4.1.141
100527355	5.2.1.8
100527374	4.6.1.19
100527381	2.5.1.18
100527403	3.1.2.28
100527417	3.6.1.1
100527421	1.11.1.9
100527425	1.8.98.2
100527426	6.3.3.2
100527458	2.3.2.23
100527475	2.7.4.6
100527488	2.3.2.27
100527490	5.1.3.1
100527499	3.4.25.1
100527512	7.2.1.3
100527526	2.3.2.23
100527532	4.1.2.13
100527559	3.5.99.10
100527574	3.6.1.1
100527581	1.14.11.61
100527582	2.3.1.20
100527586	3.1.3.102
100527586	3.1.3.104
100527587	1.11.1.7
100527607	4.2.1.134
100527615	1.1.1.206
100527621	2.1.1.322
100527630	3.4.25.1
100527631	3.1.2.28
100527651	3.6.5.2
100527653	4.1.2.25
100527653	5.1.99.8
100527653	1.13.11.81
100527654	1.2.1.68
100527670	3.6.1.29
100527679	4.1.1.39
100527711	4.6.1.17
100527718	3.4.19.12
100527747	3.5.1.26
100527755	3.4.19.12
100527756	2.3.2.23
100527772	3.1.26.5
100527794	3.1.1.29
100527798	5.1.3.18
100527799	3.5.1.88
100527804	2.1.1.71
100527807	3.1.1.112
100527811	3.1.3.25
100527811	3.1.3.93
100527811	3.1.3.15
100527851	2.5.1.18
100527852	3.1.1.29
100527864	2.3.2.23
100527883	3.5.1.89
100527885	1.14.11.2
100527891	2.4.1.207
100527893	2.7.1.48
100527897	2.3.1.4
100527913	2.3.2.27
100527923	3.5.1.49
100527925	1.14.13.81
100527932	6.3.2.17
100527938	6.2.1.4
100527938	6.2.1.5
100529131	1.8.3.2
100775180	2.3.3.1
