kegg_gene,uniprot
100301894,B9A7M1
100301895,B9A7M2
100301896,A0A0R0IB79
100301897,C6TBN2
100301898,C0LUM4
100301899,C0M0P4
100301900,C1IIX2
100301901,C3V126
100301902,C3VD33
100301903,C3VHQ8
100301904,I1NGC4
100301905,B9MSS8
100301906,B9U5I1
100302722,C7S917
100302735,C6KHU4
100303753,C1IIX4
100305347,I1MGB3
100305349,C3VUY7
100305350,C5HU39
100305351,A0A0R4J5W4
100305352,C4XVM5
100305353,C6G238
100305354,C6FF59
100305355,C6FF61
100305356,C6FF62
100305357,C6FF64
100305358,C6FF65
100305359,C6FF67
100305360,C6FF68
100305361,C6FF69
100305362,C6FF70
100305363,C6FF71
100305364,C6FF72
100305365,C6FF73
100305367,C6FF75
100305368,C6FF78
100305369,C6FF80
100305371,I1NG62
100305372,C6F1T7
100305373,C6F1T8
100305374,C5WLT3
100305375,C5WLV2
100305376,C6SUX1
100305377,C6ZGA8
100305378,I1L3G4
100305380,K4FZF8
100305381,C6ZJY9
100305382,C6ZJZ4
100305383,C6ZJZ7
100305384,C6ZRM0
100305385,C6ZRM2
100305386,C6ZRM5
100305387,C6ZRM8
100305388,C6ZRM9
100305389,C6ZRN1
100305390,C6ZRN4
100305391,C6ZRN5
100305392,C6ZRN7
100305393,C6ZRP0
100305395,C6ZRP3
100305396,C6ZRP8
100305397,C6ZRQ0
100305398,C6ZRQ1
100305399,C6ZRQ3
100305400,C6ZRQ6
100305401,C6ZRQ9
100305402,I1KXC6
100305403,C6ZRR3
100305404,C6ZRR4
100305405,C6ZRR5
100305406,C6ZRR7
100305407,C6ZRR9
100305408,I1LEA9
100305409,C6ZRS1
100305410,C6ZRS4
100305411,C6ZRS5
100305412,C6ZRS9
100305413,I1K637
100305414,C6ZRT2
100305415,C6ZRT3
100305416,C6ZRT9
100305417,C6ZRU2
100305418,C6ZRU3
100305419,C6ZRU5
100305420,C6ZRU6
100305421,C6ZRU8
100305422,C6ZRV0
100305423,C6ZRV1
100305425,C6ZRV6
100305426,C6ZRV9
100305427,C6ZRW0
100305428,C6ZRW1
100305429,C6ZRW2
100305430,C6ZRW3
100305431,C6ZRW4
100305432,C6ZRW5
100305433,C6ZRW6
100305434,C6ZRW7
100305435,C6ZRW8
100305436,C6ZRX2
100305437,C6ZRX4
100305438,C6ZRX7
100305439,C6ZRX6
100305440,C6ZRX8
100305441,C6ZRY2
100305442,I1LJD9
100305443,C6ZRY6
100305444,C6ZRY7
100305445,C6ZRZ1
100305446,C6ZRZ6
100305447,C6ZS00
100305448,C6ZS07
100305449,C6ZS08
100305450,C6ZRT8
100305451,C6ZS15
100305452,C6ZS18
100305453,C6ZS19
100305454,C6ZS21
100305455,C6ZS26
100305456,C6ZS29
100305457,C6ZS31
100305458,C6ZS43
100305459,C6ZS44
100305460,C4T847
100305461,I1LA06
100305462,C6SV61
100305463,C6SV59
100305464,C6SV64
100305465,C6SV65
100305466,C6SV66
100305467,C6SV67
100305468,C6SV70
100305469,C6SV71
100305471,C6SV74
100305473,C6SV78
100305474,C6SV80
100305475,I1MT04
100305477,C6SV85
100305478,C6SV86
100305479,I1JM67
100305480,C6SV89
100305481,C6SV90
100305482,C6SV92
100305483,C6SV95
100305484,C6SV96
100305485,C6SV97
100305486,C6SVA0
100305487,C6SVA3
100305488,C6SVA6
100305489,I1L571
100305490,C6SVA8
100305492,C6SVB3
100305493,C6SVB4
100305494,C6SVB6
100305495,C6SVB7
100305496,C6SVC1
100305497,C6SVC2
100305498,C6SVC4
100305499,C6SVC6
100305501,C6SVC8
100305502,I1N254
100305503,C6SVD0
100305504,C6SVD1
100305505,C6SVD3
100305506,C6SVD4
100305508,C6SVD6
100305509,C6SVD9
100305510,C6SVE0
100305511,C6SVE1
100305512,C6SVE2
100305513,C6SVE5
100305514,C6SVF1
100305515,C6SVF2
100305516,C6SVF3
100305517,C6SVF6
100305518,C6SVF7
100305519,C6SVF8
100305520,C6SVG4
100305521,C6SVG5
100305523,C6SVG9
100305524,C6SVH0
100305525,I1JKW2
100305526,C6SVH2
100305527,C6SVH4
100305528,C6SVH5
100305529,C6SVH6
100305530,C6SVH9
100305531,C6SVI1
100305532,C6SVI3
100305533,C6SVI5
100305534,C6SVI6
100305535,C6SVI9
100305536,C6SVJ0
100305537,C6SVJ5
100305538,I1MD98
100305539,C6SVJ8
100305540,C6SVJ9
100305541,C6SVK0
100305542,C6SVK1
100305543,C6SVK3
100305544,C6SVK2
100305545,C6SVK4
100305546,C6SVK7
100305547,C6SVK8
100305548,C6SVK9
100305549,C6SVL0
100305550,C6SVL1
100305551,C6SVL3
100305552,C6SVL4
100305553,C6SVL8
100305554,C6SVM0
100305555,C6SVM1
100305556,C6SVM3
100305557,C6SVM6
100305558,C6SVM8
100305559,C6SVM7
100305560,I1JI44
100305561,C6SVN2
100305562,C6SVN4
100305563,C6SVN3
100305564,C6SVN5
100305565,C6SVN6
100305566,C6SVN7
100305567,C6SVN8
100305568,C6SVP0
100305569,C6SVP3
100305570,C6SVP4
100305571,C6SVP5
100305572,C6SVP6
100305573,C6SVP7
100305574,I1LKU8
100305575,C6SVQ0
100305576,I1MNR6
100305578,C6SVQ2
100305581,C6SVQ8
100305582,C6SVR1
100305583,C6SVR2
100305584,C6SVR3
100305585,C6SVR4
100305586,B9MST3
100305587,C6SVR8
100305588,C6SVS0
100305589,C6SVS1
100305590,C6SVS2
100305591,C6SVS5
100305592,C6SVS6
100305594,C6SVT0
100305595,C6SVT4
100305596,C6SVT5
100305597,C6SVT6
100305599,C6SVT8
100305600,C6SVU0
100305601,C6SVU1
100305602,A0A0R0FHN7
100305603,C6SVU5
100305604,C6SVU7
