enzyme_ec	metabolite_id	reaction_id	is_substrate	is_product
1.1.1.25	C02637	R02413	False	True
1.1.1.25	C22438	R12885	False	True
1.1.1.267	C11434	R05688	True	False
1.1.1.267	C11437	R05688	False	True
1.1.1.27	C05984	R01000	True	False
1.1.1.27	C00109	R01000	False	True
1.1.1.27	C00957	R03104	False	True
1.1.1.27	C05823	R03104	True	False
1.1.1.27	C00022	R00703	False	True
1.1.1.27	C00186	R00703	True	False
1.1.1.271	C01222	R07059	True	False
1.1.1.271	C14830	R07059	False	True
1.1.1.271	C00325	R07060	False	True
1.1.1.284	C01031	R06983	False	True
1.1.1.284	C14180	R06983	True	False
1.1.1.285	C15485	R07141	True	False
1.1.1.285	C15486	R07141	False	True
1.1.1.288	C13455	R06954	False	True
1.1.1.288	C13453	R06954	True	False
1.1.1.29	C00160	R00717	True	False
1.1.1.29	C00048	R00717	False	True
1.1.1.29	C00168	R01388	False	True
1.1.1.29	C00258	R01388	True	False
1.1.1.294	C18151	R09069	True	False
1.1.1.294	C05307	R09069	False	True
1.1.1.294	C16540	R08914	True	False
1.1.1.294	C16541	R08914	False	True
1.1.1.3	C00441	R01773	False	True
1.1.1.3	C00263	R01773	True	False
1.1.1.300	C00473	R08379	True	False
1.1.1.300	C00376	R08379	False	True
1.1.1.31	C01188	R02047	True	False
1.1.1.31	C00349	R02047	False	True
1.1.1.31	C06002	R05066	False	True
1.1.1.31	C06001	R05066	True	False
1.1.1.316	C01825	R07675	True	False
1.1.1.316	C01115	R07675	False	True
1.1.1.324	C17622	R08499	False	True
1.1.1.324	C17621	R08499	True	False
1.1.1.324	C20222	R09926	False	True
1.1.1.324	C20223	R09928	False	True
1.1.1.330	C16217	R07759	False	True
1.1.1.330	C16216	R07759	True	False
1.1.1.330	C20878	R10826	True	False
1.1.1.330	C20877	R10826	False	True
1.1.1.34	C00418	R02082	True	False
1.1.1.34	C00356	R02082	False	True
1.1.1.343	C00199	R10221	False	True
1.1.1.343	C00345	R10221	True	False
1.1.1.348	C16187	R07737	False	True
1.1.1.348	C00786	R07737	True	False
1.1.1.348	C21738	R11877	True	False
1.1.1.348	C21739	R11877	False	True
1.1.1.35	C06714	R05305	True	False
1.1.1.35	C06715	R05305	False	True
1.1.1.35	C16471	R08094	False	True
1.1.1.35	C16469	R08094	True	False
1.1.1.35	C00640	R01778	True	False
1.1.1.35	C00264	R01778	False	True
1.1.1.35	C01144	R01975	True	False
1.1.1.35	C00332	R01975	False	True
1.1.1.35	C04405	R04203	True	False
1.1.1.35	C03344	R04203	False	True
1.1.1.35	C05258	R04737	True	False
1.1.1.35	C05259	R04737	False	True
1.1.1.35	C05260	R04739	True	False
1.1.1.35	C05261	R04739	False	True
1.1.1.35	C05263	R04741	False	True
1.1.1.35	C05262	R04741	True	False
1.1.1.35	C05265	R04743	False	True
1.1.1.35	C05264	R04743	True	False
1.1.1.35	C05267	R04745	False	True
1.1.1.35	C05266	R04745	True	False
1.1.1.354	C03461	R10412	False	True
1.1.1.354	C01126	R10412	True	False
1.1.1.363	C01236	R00835	False	True
1.1.1.363	C00092	R00835	True	False
1.1.1.363	C01172	R02736	True	False
1.1.1.37	C04367	R03431	True	False
1.1.1.37	C01244	R03431	False	True
1.1.1.37	C05528	R07136	False	True
1.1.1.37	C11537	R07136	True	False
1.1.1.37	C00036	R00342	False	True
1.1.1.37	C00149	R00342	True	False
1.1.1.39	C00022	R00214	False	True
1.1.1.39	C00149	R00214	True	False
1.1.1.399	C01087	R11337	True	False
1.1.1.399	C00026	R11337	False	True
1.1.1.40	C00022	R00216	False	True
1.1.1.40	C00149	R00216	True	False
1.1.1.40	C00036	R00217	True	False
1.1.1.41	C00311	R00709	True	False
1.1.1.41	C00026	R00709	False	True
1.1.1.418	C01876	R12366	False	True
1.1.1.418	C22111	R12366	True	False
1.1.1.418	C22121	R12371	False	True
1.1.1.418	C22116	R12371	True	False
1.1.1.418	C22119	R12375	True	False
1.1.1.418	C22122	R12375	False	True
1.1.1.418	C22123	R12376	False	True
1.1.1.418	C22120	R12376	True	False
1.1.1.42	C00311	R00267	True	False
1.1.1.42	C00026	R00267	False	True
1.1.1.42	C05379	R01899	False	True
1.1.1.44	C00199	R01528	False	True
1.1.1.44	C00345	R01528	True	False
1.1.1.441	C22974	R13402	False	True
1.1.1.441	C06081	R13402	True	False
1.1.1.441	C22975	R13403	False	True
1.1.1.441	C00381	R13403	True	False
1.1.1.49	C01236	R00835	False	True
1.1.1.49	C00092	R00835	True	False
1.1.1.49	C01172	R02736	True	False
1.1.1.59	C00222	R01608	False	True
1.1.1.59	C01013	R01608	True	False
1.1.1.62	C05300	R04681	False	True
1.1.1.62	C05141	R04681	True	False
1.1.1.62	C05284	R08945	False	True
1.1.1.62	C18075	R08945	True	False
1.1.1.62	C00468	R02352	False	True
1.1.1.62	C00951	R02352	True	False
1.1.1.65	C00250	R01708	False	True
1.1.1.65	C00314	R01708	True	False
1.1.1.79	C00168	R01392	False	True
1.1.1.79	C00258	R01392	True	False
1.1.1.79	C00937	R02527	True	False
1.1.1.79	C00546	R02527	False	True
1.1.1.79	C00160	R00465	True	False
1.1.1.79	C00048	R00465	False	True
1.1.1.8	C00093	R00842	True	False
1.1.1.8	C00111	R00842	False	True
1.1.1.81	C00168	R01388	False	True
1.1.1.81	C00258	R01388	True	False
1.1.1.82	C00036	R00343	False	True
1.1.1.82	C00149	R00343	True	False
1.1.1.85	C06032	R00994	False	True
1.1.1.85	C00109	R00994	True	False
1.1.1.85	C00233	R10052	False	True
1.1.1.85	C04411	R10052	True	False
1.1.1.85	C04236	R04426	False	True
1.1.1.86	C00900	R03051	True	False
1.1.1.86	C04039	R03051	False	True
1.1.1.86	C04272	R04440	True	False
1.1.1.86	C04181	R04440	False	True
1.1.1.86	C14463	R05068	False	True
1.1.1.86	C06007	R05068	True	False
1.1.1.86	C06006	R05069	True	False
1.1.1.86	C06010	R05071	True	False
1.1.1.95	C00197	R01513	True	False
1.1.1.95	C03232	R01513	False	True
1.1.1.95	C00026	R08198	False	True
1.1.1.95	C02630	R08198	True	False
1.1.2.4	C00125	R00197	True	False
1.1.2.4	C00022	R00197	False	True
1.1.2.4	C00256	R00197	True	False
1.1.2.4	C00126	R00197	False	True
1.1.3.15	C00160	R00475	True	False
1.1.3.15	C00007	R00475	True	False
1.1.3.15	C00048	R00475	False	True
1.1.3.15	C15565	R01341	True	False
1.1.3.15	C00161	R01341	False	True
1.1.3.20	C00339	R00041	True	False
1.1.3.20	C00609	R00041	False	True
1.1.3.20	C00007	R00041	True	False
1.1.3.8	C00007	R10053	True	False
1.1.3.8	C00072	R10053	False	True
1.1.3.8	C01040	R10053	True	False
1.1.3.8	C03289	R03184	False	True
1.1.5.3	C00093	R00848	True	False
1.1.5.3	C00016	R00848	True	False
1.1.5.3	C01352	R00848	False	True
1.1.5.3	C00111	R00848	False	True
1.1.5.3	C15602	R00849	True	False
1.1.5.3	C15603	R00849	False	True
1.1.5.3	C00399	R08657	True	False
1.1.5.3	C00390	R08657	False	True
1.1.99.2	C00030	R00298	False	True
1.1.99.2	C03196	R00298	True	False
1.1.99.2	C00026	R00298	False	True
1.1.99.2	C00028	R00298	True	False
1.1.99.2	C01352	R03534	False	True
1.1.99.2	C00016	R03534	True	False
1.1.99.2	C02630	R03534	True	False
1.1.99.39	C01087	R10575	True	False
1.1.99.39	C00030	R10575	False	True
1.1.99.39	C00028	R10575	True	False
1.1.99.39	C00026	R10575	False	True
1.10.3.1	C00007	R00031	True	False
1.10.3.1	C00355	R00031	False	True
1.10.3.1	C00082	R00031	True	False
1.10.3.1	C00822	R00045	False	True
1.10.3.1	C03861	R00080	False	True
1.10.3.1	C00090	R00080	True	False
1.10.3.1	C02351	R00058	False	True
1.10.3.11	C00399	R09504	False	True
1.10.3.11	C00007	R09504	True	False
1.10.3.11	C00390	R09504	True	False
1.10.3.2	C01785	R00083	True	False
1.10.3.2	C05309	R00083	False	True
1.10.3.2	C00007	R00083	True	False
1.10.3.3	C00072	R00068	True	False
1.10.3.3	C00007	R00068	True	False
1.10.3.3	C05422	R00068	False	True
1.10.3.9	C00007	R09503	False	True
1.10.3.9	C02061	R09503	True	False
1.10.3.9	C00205	R09503	True	False
1.10.3.9	C16693	R09503	False	True
1.11.1.11	C00072	R00644	True	False
1.11.1.11	C05422	R00644	False	True
1.11.1.11	C01041	R09540	False	True
1.11.1.24	C15498	R12570	True	False
1.11.1.24	C00342	R12570	True	False
1.11.1.24	C00343	R12570	False	True
1.11.1.24	C01335	R12570	False	True
1.11.1.25	C07293	R12571	False	True
1.11.1.25	C15498	R12571	True	False
1.11.1.25	C07292	R12571	True	False
1.11.1.25	C01335	R12571	False	True
1.11.1.27	C01335	R12578	False	True
